match_round,home_team,away_team,ht_sentiment,at_sentiment
1,Arsenal,Manchester City,0.24995703497697727,0.30458852035860967
1,Bournemouth,Cardiff,0.21486528665671104,0.2706741338970705
1,Fulham,Crystal Palace,0.2685006689971478,0.28129161832673727
1,Huddersfield,Chelsea,0.22516405243714097,0.2852273867978729
1,Liverpool,West Ham,0.20317584663820046,0.2547580036242827
1,Manchester Utd,Leicester,0.14524506054639988,0.23640673203316337
1,Newcastle,Tottenham,0.14005205308749516,0.15155392866176423
1,Southampton,Burnley,0.2508754139180925,0.1840491021324355
1,Watford,Brighton,0.09226710120918843,0.24421023732733357
1,Wolves,Everton,0.28163890679336456,0.23710374678941554
2,Brighton,Manchester Utd,0.1361198721913008,0.24858656969928042
2,Burnley,Watford,0.16578844104581064,0.23310835216495593
2,Cardiff,Newcastle,0.17615715688632355,0.1718068954854669
2,Chelsea,Arsenal,0.19244798517970957,0.21379185276181412
2,Crystal Palace,Liverpool,0.2187675831378121,0.2692158379302365
2,Everton,Southampton,0.17346937206115312,0.19039272710263647
2,Leicester,Wolves,0.2544129208107701,0.1696799802158454
2,Manchester City,Huddersfield,0.22839871033709466,0.18582737093153764
2,Tottenham,Fulham,0.07712089218969953,0.23512658678953316
2,West Ham,Bournemouth,0.15522043760111942,0.18494610899915515
3,Arsenal,West Ham,0.23911351848403825,0.2875460811118706
3,Bournemouth,Everton,0.14000940509451149,0.21018559712155807
3,Fulham,Burnley,0.24728219347405395,0.12015833718709383
3,Huddersfield,Cardiff,0.21675564173736941,0.11657420465818906
3,Liverpool,Brighton,0.24627008635933129,0.30875936542603216
3,Manchester Utd,Tottenham,0.16891649337559925,0.1536373660538388
3,Newcastle,Chelsea,0.20671935190413443,0.22196183483287033
3,Southampton,Leicester,0.21213524110461357,0.22713001443001446
3,Watford,Crystal Palace,0.1761567646069679,0.16938660789442045
3,Wolves,Manchester City,0.1935355658817959,0.24307004974192495
4,Brighton,Fulham,0.22197539655462323,0.26902311893007114
4,Burnley,Manchester Utd,0.16569227994227995,0.2595166604389095
