match_round,home_team,away_team,team,sentiment_analysis
33,Crystal Palace,West Brom,West Brom,0.3148947213613407
33,Everton,Burnley,Everton,0.24384945687029025
33,Everton,Burnley,Burnley,0.19762855113636363
33,Leicester,Swansea,Leicester,0.1819458822176214
33,Leicester,Swansea,Swansea,0.34122615039281706
33,Stoke,Southampton,Stoke,0.27271220609455904
33,Stoke,Southampton,Southampton,0.24017307218526734
32,Liverpool,Newcastle,Liverpool,0.2710078463203463
32,Liverpool,Newcastle,Newcastle,0.25068160710447945
32,Manchester Utd,Manchester City,Manchester Utd,0.2918527940597358
32,Manchester Utd,Manchester City,Manchester City,0.2865468811491539
32,QPR,Chelsea,QPR,0.1114220039220039
32,QPR,Chelsea,Chelsea,0.26828191710923666
32,Burnley,Arsenal,Burnley,0.19578151889263
32,Burnley,Arsenal,Arsenal,0.25383931159380835
32,Southampton,Hull,Southampton,0.2893834966203388
32,Southampton,Hull,Hull,0.15089552936775158
32,Sunderland,Crystal Palace,Sunderland,0.26999316378066374
32,Sunderland,Crystal Palace,Crystal Palace,0.3470860607392924
32,Swansea,Everton,Swansea,0.3369047619047619
32,Swansea,Everton,Everton,0.31609946755288737
32,Tottenham,Aston Villa,Tottenham,0.28373521803399854
32,Tottenham,Aston Villa,Aston Villa,0.18415603867809746
32,West Brom,Leicester,West Brom,0.3183567113714173
32,West Brom,Leicester,Leicester,0.2393549107142857
32,West Ham,Stoke,West Ham,0.27592228732314933
32,West Ham,Stoke,Stoke,0.2860626503126504
33,Aston Villa,QPR,Aston Villa,0.1965185586018919
33,Aston Villa,QPR,QPR,0.23214594181985487
31,Crystal Palace,Manchester City,Crystal Palace,0.3881735458028562
31,Crystal Palace,Manchester City,Manchester City,0.32686497004678833
31,Burnley,Tottenham,Burnley,0.14196242730333636
31,Burnley,Tottenham,Tottenham,0.23352231732913556
31,Sunderland,Newcastle,Sunderland,0.3417892788428504
31,Sunderland,Newcastle,Newcastle,0.32082744107744104
31,Arsenal,Liverpool,Arsenal,0.2919825654027043
31,Arsenal,Liverpool,Liverpool,0.32084065970654013
31,Chelsea,Stoke,Chelsea,0.3014852917323848
31,Chelsea,Stoke,Stoke,0.2912843714927048
31,Everton,Southampton,Everton,0.3780201958003681
31,Everton,Southampton,Southampton,0.24964201539201542
31,Leicester,West Ham,Leicester,0.2086716300940439
31,Leicester,West Ham,West Ham,0.3538886202450033
31,Manchester Utd,Aston Villa,Manchester Utd,0.29645240672026385
31,Manchester Utd,Aston Villa,Aston Villa,0.3328955026455026
31,Swansea,Hull,Swansea,0.42605555555555563
31,Swansea,Hull,Hull,0.26647506051718006
31,West Brom,QPR,West Brom,0.22749309960065772
31,West Brom,QPR,QPR,0.358156179138322
30,Hull,Chelsea,Hull,0.10193918779633068
30,Hull,Chelsea,Chelsea,0.2501700362841667
30,Liverpool,Manchester Utd,Liverpool,0.22022060419571018
30,Liverpool,Manchester Utd,Manchester Utd,0.33095266869806933
30,QPR,Everton,QPR,0.1914954468931742
30,QPR,Everton,Everton,0.16956417074788288
30,Aston Villa,Swansea,Aston Villa,0.26066973615464983
30,Aston Villa,Swansea,Swansea,0.30644407033295923
30,Manchester City,West Brom,Manchester City,0.2350392126598936
30,Manchester City,West Brom,West Brom,0.1619736581501287
30,Newcastle,Arsenal,Newcastle,0.1925176366843034
30,Newcastle,Arsenal,Arsenal,0.2297440447815533
30,Southampton,Burnley,Southampton,0.3059380570409983
30,Southampton,Burnley,Burnley,0.31827948603683903
30,Stoke,Crystal Palace,Stoke,0.1598456152433425
30,Stoke,Crystal Palace,Crystal Palace,0.37042498647186145
30,Tottenham,Leicester,Tottenham,0.25405463363796704
30,Tottenham,Leicester,Leicester,0.20138549413549411
30,West Ham,Sunderland,West Ham,0.3668653722820391
30,West Ham,Sunderland,Sunderland,0.22320076913826917
29,Swansea,Liverpool,Swansea,0.29067846835703975
29,Swansea,Liverpool,Liverpool,0.24713209818333898
29,Chelsea,Southampton,Chelsea,0.1725131096681096
29,Chelsea,Southampton,Southampton,0.3066247435290404
29,Everton,Newcastle,Everton,0.17887520319372724
29,Everton,Newcastle,Newcastle,0.15504758230452675
29,Manchester Utd,Tottenham,Manchester Utd,0.30375449087949097
29,Manchester Utd,Tottenham,Tottenham,0.32483027822871574
29,Arsenal,West Ham,Arsenal,0.3040892542133571
29,Arsenal,West Ham,West Ham,0.2796111473088515
29,Burnley,Manchester City,Burnley,0.2797029993815708
29,Burnley,Manchester City,Manchester City,0.3015979118920296
29,Crystal Palace,QPR,Crystal Palace,0.3656497883244207
29,Crystal Palace,QPR,QPR,0.3197717919940142
29,Leicester,Hull,Leicester,0.25499298540965215
29,Leicester,Hull,Hull,0.19025252525252526
29,Sunderland,Aston Villa,Sunderland,0.29577628968253966
29,Sunderland,Aston Villa,Aston Villa,0.1817167708834376
29,West Brom,Stoke,West Brom,0.26344678401663696
