post_id,like,love,wow,haha,sorry,anger
10157524550912746,15840,2022,25,12,3,0
10157524142537746,17890,1935,32,14,5,0
10157522199442746,5755,466,9,0,0,1
10157522290957746,14293,1394,24,9,1,0
10157522679397746,11855,844,24,9,3,0
10157522468767746,4861,601,15,6,0,1
1037797946615972,1022,117,3,0,0,0
10157522318027746,17128,1613,26,13,2,2
10157522179052746,12039,963,8,4,11,2
10157521629127746,16381,1531,23,28,1,2
10157521721182746,7127,540,7,4,3,2
10157521587597746,62925,13554,186,52,7,6
10157521335097746,17752,1601,31,23,1,0
10157518128527746,10120,995,34,6,0,1
10157520506567746,70603,7481,145,202,12,44
10157518655192746,5052,421,6,6,0,2
10157519354412746,7217,774,7,67,1,0
10157518041987746,66382,11983,188,268,7,7
10157518923617746,20904,2151,33,18,0,1
10157518692972746,12084,912,19,21,5,3
10157518499372746,19591,1967,53,66,1,16
10157514583742746,34705,4879,85,44,5,5
10157517909392746,14957,1237,17,16,0,4
10157545391497746,0,0,0,0,0,0
511947679498975,39253,8315,171,95,33,46
10157511834647746,73590,13336,938,111,24,11
10157514208362746,21508,1779,55,30,1,1
10157517251127746,24184,2378,85,43,10,12
10157517011112746,11100,850,13,12,0,1
10157514183247746,11159,977,17,32,1,15
10157514888427746,5104,405,7,7,1,0
10157516196752746,5534,436,7,3,0,3
10157515833142746,18518,1612,18,18,1,1
10157515672072746,8634,773,4,9,0,1
10157500662282746,7033,727,45,92,0,2
10157515283347746,6177,500,9,5,1,1
10157515107032746,11573,903,10,10,0,1
10157514913232746,16805,2226,317,144,3,27
10157514767337746,8774,586,13,31,3,27
10157514170917746,21469,1781,25,57,4,74
10157510777297746,38980,8112,206,38,8,7
10157513994717746,16348,1307,18,58,6,25
10157510816247746,24343,3359,88,34,1,3
10157513268037746,71476,7090,148,9626,28,6
10157511597752746,5167,399,6,11,2,3
10157511203447746,12734,973,23,10,0,1
10157511948512746,10135,682,21,38,2,17
10157511752097746,17857,1963,108,44,4,39
10157511580242746,8747,708,22,8,2,3
510020989694163,17091,2535,53,110,21,37
10157511247822746,21166,1747,30,19,2,2
10157510943067746,18765,1315,36,144,8,65
10157500758107746,7527,609,10,18,1,1
10157497266592746,15424,1512,40,12,1,0
10157509979827746,13479,1260,17,32,6,1
10157500967237746,32660,4856,62,343,2,6
10157500664112746,13677,1311,32,18,5,3
10157500596767746,10077,927,13,25,0,2
10157508212532746,16867,1730,31,10,0,2
10157507750782746,16268,1114,12,71,4,1
10157500343137746,7922,679,9,10,0,0
10157497258447746,10185,891,17,11,1,0
10157506938677746,27534,2088,186,284,2,3
10157497881522746,18949,2382,41,74,1,1
10157506073212746,107252,11900,189,108,7,8
10157500205337746,30976,4824,97,34,1,8
10157505223922746,15448,1047,23,36,2,8
10157500362162746,8427,684,13,53,0,0
10157504873292746,13128,1013,19,19,1,1
10157504707012746,19243,1335,30,216,18,82
10157504538442746,11087,835,15,9,2,0
10157504175017746,7443,597,14,6,2,1
10157500297572746,6928,641,11,6,2,1
10157497249182746,8826,881,22,8,1,5
10157503476362746,29473,2804,59,24,5,3
10157503179797746,8175,665,7,9,0,1
10157500426982746,10024,1163,15,9,2,0
10157502276022746,17663,1342,22,20,1,0
10157500249457746,12224,1120,27,7,1,1
10157500932432746,6726,437,8,9,0,1
10157501162067746,63672,6827,409,276,15,139
10157500764047746,14616,1370,21,29,1,2
10157500586717746,10547,783,16,7,0,1
10157500320817746,16059,1384,20,13,0,0
10157500164737746,40614,3173,56,58,19,5
10157499981167746,15974,1500,28,31,0,4
10157497245827746,39585,4634,146,28,4,2
10157499314507746,30429,2657,36,14,0,1
10157497682792746,6402,396,8,3,1,1
10157497196202746,34241,7373,234,66,10,3
10157498219557746,28497,4342,78,32,8,4
10157498046547746,10918,842,14,19,0,1
10157497870377746,16009,2054,34,13,4,3
10157497651327746,32557,5124,41,18,8,1
10157496891222746,49990,8557,197,45,22,14
10157497003257746,8965,873,17,143,1,1
10157497180962746,10253,1040,16,33,2,1
10157497024027746,23853,2535,30,11,1,1
10157494325177746,51116,5902,77,94,6,6
10157494583697746,39689,5459,106,41,4,5
10157496010837746,24054,2011,58,1141,5,0
10157495527412746,9591,797,11,6,2,0
10157494702367746,5455,485,13,8,0,1
10157494160362746,24857,3639,47,19,0,1
10157493948612746,90304,14625,261,96,15,15
10157494206462746,17351,1920,33,23,4,0
10157494041612746,13084,1360,28,8,3,4
10157493877607746,41837,5416,87,25,3,3
10157493774077746,18741,1881,29,15,3,0
245701193269213,44912,6899,230,89,46,97
10157493459842746,13151,1087,40,10,1,1
10157487168847746,10330,860,11,15,0,2
10157490659482746,34760,4756,127,39,7,6
10157490571967746,6079,500,7,12,0,0
10157491164612746,5052,398,8,8,1,2
10157492171342746,12666,1946,16,97,4,0
10157491342157746,20447,2195,26,21,1,4
10157491518937746,15252,1325,26,47,4,1
10157491255612746,5673,525,14,2,1,0
10157491317112746,14884,1502,21,10,0,0
10157487565102746,21632,2032,32,11,3,1
10157481708572746,24118,2303,32,16,4,1
10157480963822746,51216,3716,65,414,26,47
10157477957827746,22449,1972,41,20,2,1
10157476221182746,27754,3770,42,14,7,2
10157475330642746,13783,1099,20,21,3,1
10157475171797746,24131,2653,39,26,5,1
10157474600732746,26252,2577,42,28,6,0
10157473554262746,38472,4131,43,23,2,1
10157471450517746,9631,717,11,8,0,1
594182784508796,38295,8529,234,120,37,79
10157468621887746,16267,987,20,35,5,6
10157468470307746,20861,1792,21,17,2,0
10157467860047746,24330,1860,17,118,9,15
10157462135497746,52162,4707,56,72,5,5
10157460597147746,62059,4465,199,68,6,3
10157459456517746,33100,3709,56,26,13,1
10157458041982746,18125,1403,35,27,12,1
10157456312712746,53781,5431,73,91,21,11
10157453447162746,28522,2660,30,29,4,2
10157453131227746,16741,1544,14,22,7,0
10157452437397746,52186,8379,109,55,22,1
10157446750862746,0,0,0,0,0,0
10157446556992746,18948,1759,30,24,2,5
10157443494072746,18719,1762,34,15,2,1
10157443126077746,46591,6345,28,20,121,2
10157439347362746,19900,1947,30,15,3,0
10157437080987746,26637,2887,37,40,16,0
10157432796047746,22044,1966,68,17,8,5
10157432081902746,77884,12074,261,122,11,12
10157425944492746,14608,1236,31,10,3,3
"10157424535647746"",""10157424534757746",0,0,0,0,0,0
10157421152457746,79049,7812,139,64,5,4
10157418157702746,36855,3969,68,22,4,5
10157417511667746,113451,10074,208,578,11,8
10157415284042746,143119,21065,490,136,7,8
10157412357692746,97022,10177,274,65,9,1
10157411985392746,150207,16066,364,874,81,329
10157406269652746,86717,10843,267,106,12,3
10157404996042746,98756,11831,174,132,5,6
10157403789042746,36935,3243,52,65,4,0
10157402932552746,47606,4577,76,63,5,3
10157401984517746,21069,1357,28,22,0,6
10157398974287746,77463,7185,160,62,4,15
10157397386022746,55271,5852,134,74,5,10
10157396316372746,63916,8258,196,62,3,5
10157395068087746,54459,6263,115,41,1,1
10157394948907746,43171,7842,243,38,1,3
10157394663177746,0,0,0,0,0,0
10157393620177746,107591,13784,164,191,6,11
10157392941077746,95370,12940,256,135,3,9
10157392295972746,190984,44586,522,1409,29,37
10157391793797746,73362,9730,151,67,4,10
10157390707112746,0,0,0,0,0,0
10157390267317746,53259,6262,144,50,9,4
10157389329462746,83472,9281,134,62,8,3
10157388576932746,28306,2032,42,40,1,0
10157387957862746,77733,7423,134,50,5,4
10157386793722746,49277,4415,142,54,16,6
10157385850032746,47932,5368,212,163,6,6
10157385188612746,27421,1978,51,29,1,1
10157384286672746,33450,3431,76,27,2,0
10157383971867746,76870,10523,226,87,18,10
10157383416262746,33854,2679,98,131,33,84
10157383018557746,19804,1315,26,20,1,3
10157381783547746,40324,3520,88,38,6,3
10157381009087746,21074,1324,54,59,2,2
10157378779467746,36951,2858,57,65,3,2
10157375966377746,53410,5637,88,48,1,2
10157374744172746,52571,7377,225,30,28,1
10157372422977746,36539,2677,67,94,14,32
10157371267607746,34871,2763,56,86,70,68
10157370878662746,62659,6142,250,118,34,105
10157370700417746,139727,20231,569,308,17,12
10157369993572746,79953,8328,174,112,13,11
"10157365562952746"",""10157365561992746",0,0,0,0,0,0
10157365249712746,46634,4484,82,40,5,1
10157364884717746,67218,5695,184,545,16,1
10157364289662746,33139,2989,66,28,3,2
10157364097942746,31276,3205,58,503,2,3
10157363045277746,55856,7193,146,68,2,7
10157362930277746,26732,3267,69,89,2,5
10157362861407746,104178,8773,163,1124,49,77
10157362813962746,64709,9853,267,75,6,4
10157362604612746,35554,5407,93,31,2,1
10157362520252746,50671,6613,129,51,2,2
10157362145107746,79660,7359,296,94,11,30
10157362057717746,35765,6191,138,40,3,3
10157361754727746,10763,838,15,15,3,0
10157360533342746,53156,4218,82,109,6,4
"10157358362907746"",""10157358362677746",0,0,0,0,0,0
10157357403177746,41612,3024,81,70,7,3
10157355583112746,49420,3687,157,49,5,3
10157355028512746,0,0,0,0,0,0
10157350804022746,56493,6246,115,48,5,0
10157350414952746,105473,13446,292,143,7,5
10157349729697746,173506,28784,646,325,26,28
10157349597927746,64242,9531,643,411,8,3
10157349501567746,92423,13176,205,149,6,5
10157349472882746,35032,4400,87,43,4,13
10157349392492746,27271,2303,42,48,8,23
10157348968332746,13910,967,29,13,5,0
10157348470662746,29871,2056,60,28,1,4
10157348246022746,57623,5405,116,76,8,7
10157345332382746,37780,2487,58,69,6,8
10157343759772746,24525,2325,24,15,6286,13
10157342730422746,91289,4690,110,228,15,26
10157341132457746,15054,436,12,316,109,645
10157340795222746,45585,2064,201,701,428,3882
10157340201632746,35746,2174,52,70,3,2
10157339531752746,57264,4670,87,264,17,43
10157337842512746,32113,2328,47,53,0,1
10157336913512746,0,0,0,0,0,0
10157333131137746,123867,9952,223,244,12,8
10157332377867746,0,0,0,0,0,0
10157332104867746,181272,22390,626,302,9,35
10157331724957746,163387,30831,775,1087,55,183
10157331516797746,43187,5265,104,62,5,23
10157331514127746,25461,2867,59,32,1,8
10157331444967746,56738,5902,164,98,12,27
10157331408447746,90885,12029,320,178,14,60
10157330963907746,27004,2153,43,20,1,0
10157330700747746,21379,1410,29,26,3,3
10157330391837746,41512,4196,77,159,12,14
10157329601702746,34365,3297,44,25,9716,18
10157327477332746,52641,3272,49,75,6,9
10157324687187746,44488,2511,40,141,6,4
