match_year,match_round,team,team_rank,team_points,team_goal_difference,team_goal_fatti,team_goal_subiti
2010,2,TSG Hoffenheim,1,3,3,4,1
2010,2,1.FC K'lautern,2,3,2,3,1
2010,2,FC St. Pauli,3,3,2,3,1
2010,2,Bay. Leverkusen,4,3,2,2,0
2010,2,1.FSV Mainz 05,5,3,2,2,0
2010,2,Bayern Munich,6,3,1,2,1
2010,2,Hannover 96,7,3,1,2,1
2010,2,Hamburger SV,8,3,1,2,1
2010,2,Bor. M'gladbach,9,1,0,1,1
2010,2,1.FC Nuremberg,10,1,0,1,1
2010,2,FC Schalke 04,11,0,-1,1,2
2010,2,VfL Wolfsburg,12,0,-1,1,2
2010,2,E. Frankfurt,13,0,-1,1,2
2010,2,SC Freiburg,14,0,-2,1,3
2010,2,1. FC Köln,15,0,-2,1,3
2010,2,Bor. Dortmund,16,0,-2,0,2
2010,2,VfB Stuttgart,17,0,-2,0,2
2010,2,Werder Bremen,18,0,-3,1,4
2010,3,TSG Hoffenheim,1,6,4,5,1
2010,3,1.FC K'lautern,2,6,4,5,1
2010,3,1.FSV Mainz 05,3,6,3,6,3
2010,3,Hamburger SV,4,6,3,5,2
2010,3,Hannover 96,5,6,2,4,2
2010,3,Bor. M'gladbach,6,4,3,7,4
2010,3,FC St. Pauli,7,3,1,3,2
2010,3,Bor. Dortmund,8,3,0,3,3
2010,3,Bay. Leverkusen,9,3,-1,5,6
2010,3,Werder Bremen,10,3,-1,5,6
2010,3,SC Freiburg,11,3,-1,3,4
2010,3,Bayern Munich,12,3,-1,2,3
2010,3,1.FC Nuremberg,13,1,-1,2,3
2010,3,VfL Wolfsburg,14,0,-2,4,6
2010,3,FC Schalke 04,15,0,-2,2,4
2010,3,E. Frankfurt,16,0,-3,2,5
2010,3,1. FC Köln,17,0,-4,3,7
2010,3,VfB Stuttgart,18,0,-4,1,5
2010,4,TSG Hoffenheim,1,9,6,7,1
2010,4,1.FSV Mainz 05,2,9,4,8,4
2010,4,Hamburger SV,3,7,3,6,3
2010,4,Hannover 96,4,7,2,6,4
2010,4,1.FC K'lautern,5,6,3,6,3
2010,4,Bor. Dortmund,6,6,2,5,3
2010,4,SC Freiburg,7,6,0,5,5
2010,4,Bor. M'gladbach,8,4,-1,7,8
2010,4,Bay. Leverkusen,9,4,-1,7,8
2010,4,Werder Bremen,10,4,-1,5,6
2010,4,Bayern Munich,11,4,-1,2,3
2010,4,E. Frankfurt,12,3,1,6,5
2010,4,FC St. Pauli,13,3,0,3,3
2010,4,1. FC Köln,14,3,-3,4,7
2010,4,1.FC Nuremberg,15,2,-1,3,4
2010,4,VfL Wolfsburg,16,0,-4,4,8
2010,4,FC Schalke 04,17,0,-4,2,6
2010,4,VfB Stuttgart,18,0,-5,2,7
2010,5,1.FSV Mainz 05,1,12,6,10,4
2010,5,TSG Hoffenheim,2,10,6,9,3
2010,5,Bor. Dortmund,3,9,4,8,4
2010,5,SC Freiburg,4,9,1,6,5
2010,5,Hamburger SV,5,8,3,7,4
2010,5,1.FC K'lautern,6,7,3,8,5
2010,5,Hannover 96,7,7,0,6,6
2010,5,Bay. Leverkusen,8,5,-1,7,8
2010,5,Bayern Munich,9,5,-1,2,3
2010,5,FC St. Pauli,10,4,0,4,4
2010,5,Werder Bremen,11,4,-3,5,8
2010,5,1. FC Köln,12,4,-3,4,7
2010,5,Bor. M'gladbach,13,4,-8,7,15
2010,5,VfB Stuttgart,14,3,2,9,7
2010,5,E. Frankfurt,15,3,0,6,6
2010,5,1.FC Nuremberg,16,3,-1,3,4
2010,5,VfL Wolfsburg,17,3,-2,6,8
2010,5,FC Schalke 04,18,0,-6,3,9
2010,6,1.FSV Mainz 05,1,15,8,12,4
2010,6,Bor. Dortmund,2,12,9,13,4
2010,6,TSG Hoffenheim,3,10,5,10,5
2010,6,Hannover 96,4,10,3,10,7
2010,6,SC Freiburg,5,9,0,7,7
2010,6,Hamburger SV,6,8,1,8,7
2010,6,Bay. Leverkusen,7,8,0,9,9
2010,6,Bayern Munich,8,8,0,4,4
2010,6,FC St. Pauli,9,7,1,6,5
2010,6,1.FC K'lautern,10,7,-2,8,10
2010,6,VfL Wolfsburg,11,6,0,9,9
2010,6,1.FC Nuremberg,12,6,0,5,5
2010,6,1. FC Köln,13,4,-5,4,9
2010,6,Werder Bremen,14,4,-6,6,12
2010,6,Bor. M'gladbach,15,4,-9,8,17
2010,6,VfB Stuttgart,16,3,1,10,9
2010,6,E. Frankfurt,17,3,-1,7,8
2010,6,FC Schalke 04,18,3,-5,5,10
