match_year,match_round,team,team_rank,team_points,team_goal_difference,team_goal_fatti,team_goal_subiti
2018,2,Bor. Dortmund,1,3,3,4,1
2018,2,Bayern Munich,2,3,2,3,1
2018,2,E. Frankfurt,3,3,2,2,0
2018,2,Bor. M'gladbach,4,3,2,2,0
2018,2,FC Augsburg,5,3,1,2,1
2018,2,VfL Wolfsburg,6,3,1,2,1
2018,2,Hertha BSC,7,3,1,1,0
2018,2,1.FSV Mainz 05,8,3,1,1,0
2018,2,Werder Bremen,9,1,0,1,1
2018,2,Hannover 96,10,1,0,1,1
2018,2,FC Schalke 04,11,0,-1,1,2
2018,2,F. Düsseldorf,12,0,-1,1,2
2018,2,VfB Stuttgart,13,0,-1,0,1
2018,2,1.FC Nuremberg,14,0,-1,0,1
2018,2,TSG Hoffenheim,15,0,-2,1,3
2018,2,Bay. Leverkusen,16,0,-2,0,2
2018,2,SC Freiburg,17,0,-2,0,2
2018,2,RB Leipzig,18,0,-3,1,4
2018,3,Bayern Munich,1,6,5,6,1
2018,3,VfL Wolfsburg,2,6,3,5,2
2018,3,Hertha BSC,3,6,3,3,0
2018,3,Bor. Dortmund,4,4,3,4,1
2018,3,Bor. M'gladbach,5,4,2,3,1
2018,3,Werder Bremen,6,4,1,3,2
2018,3,FC Augsburg,7,4,1,3,2
2018,3,1.FSV Mainz 05,8,4,1,2,1
2018,3,E. Frankfurt,9,3,1,3,2
2018,3,TSG Hoffenheim,10,3,0,4,4
2018,3,Hannover 96,11,2,0,1,1
2018,3,F. Düsseldorf,12,1,-1,2,3
2018,3,1.FC Nuremberg,13,1,-1,1,2
2018,3,RB Leipzig,14,1,-3,2,5
2018,3,FC Schalke 04,15,0,-3,1,4
2018,3,Bay. Leverkusen,16,0,-4,1,5
2018,3,SC Freiburg,17,0,-4,1,5
2018,3,VfB Stuttgart,18,0,-4,0,4
2018,4,Bayern Munich,1,9,7,9,2
2018,4,Bor. Dortmund,2,7,5,7,2
2018,4,VfL Wolfsburg,3,7,3,7,4
2018,4,Bor. M'gladbach,4,7,3,5,2
2018,4,Hertha BSC,5,7,3,5,2
2018,4,1.FSV Mainz 05,6,7,2,4,2
2018,4,Werder Bremen,7,5,1,4,3
2018,4,FC Augsburg,8,4,0,4,4
2018,4,F. Düsseldorf,9,4,0,4,4
2018,4,RB Leipzig,10,4,-2,5,7
2018,4,TSG Hoffenheim,11,3,-1,5,6
2018,4,E. Frankfurt,12,3,-1,4,5
2018,4,Hannover 96,13,2,-1,3,4
2018,4,1.FC Nuremberg,14,2,-1,2,3
2018,4,SC Freiburg,15,1,-4,4,8
2018,4,VfB Stuttgart,16,1,-4,3,7
2018,4,FC Schalke 04,17,0,-4,2,6
2018,4,Bay. Leverkusen,18,0,-6,2,8
2018,5,Bayern Munich,1,12,9,11,2
2018,5,Hertha BSC,2,10,5,9,4
2018,5,Bor. Dortmund,3,8,5,8,3
2018,5,Werder Bremen,4,8,2,7,5
2018,5,VfL Wolfsburg,5,7,1,8,7
2018,5,Bor. M'gladbach,6,7,1,7,6
2018,5,1.FSV Mainz 05,7,7,1,4,3
2018,5,1.FC Nuremberg,8,5,1,4,3
2018,5,F. Düsseldorf,9,5,0,4,4
2018,5,RB Leipzig,10,5,-2,6,8
2018,5,TSG Hoffenheim,11,4,-1,6,7
2018,5,FC Augsburg,12,4,-1,6,7
2018,5,E. Frankfurt,13,4,-1,5,6
2018,5,SC Freiburg,14,4,-2,7,9
2018,5,Bay. Leverkusen,15,3,-5,3,8
2018,5,Hannover 96,16,2,-3,3,6
2018,5,VfB Stuttgart,17,2,-4,3,7
2018,5,FC Schalke 04,18,0,-6,2,8
2018,6,Bayern Munich,1,13,9,12,3
2018,6,Bor. Dortmund,2,11,12,15,3
2018,6,Werder Bremen,3,11,4,10,6
2018,6,Bor. M'gladbach,4,10,3,10,7
2018,6,Hertha BSC,5,10,3,10,7
2018,6,VfL Wolfsburg,6,8,1,8,7
2018,6,1.FSV Mainz 05,7,8,1,4,3
2018,6,RB Leipzig,8,8,0,8,8
2018,6,TSG Hoffenheim,9,7,1,9,8
2018,6,SC Freiburg,10,7,-1,8,9
2018,6,Bay. Leverkusen,11,6,-4,5,9
2018,6,FC Augsburg,12,5,-1,7,8
2018,6,F. Düsseldorf,13,5,-1,5,6
2018,6,1.FC Nuremberg,14,5,-6,4,10
2018,6,E. Frankfurt,15,4,-3,6,9
2018,6,Hannover 96,16,2,-5,4,9
2018,6,VfB Stuttgart,17,2,-6,3,9
2018,6,FC Schalke 04,18,0,-7,2,9
2018,7,Bor. Dortmund,1,14,14,19,5
2018,7,Bayern Munich,2,13,7,12,5
2018,7,Hertha BSC,3,13,5,12,7
2018,7,Bor. M'gladbach,4,11,3,12,9
2018,7,Werder Bremen,5,11,3,11,8
2018,7,RB Leipzig,6,11,1,10,9
2018,7,VfL Wolfsburg,7,9,1,10,9
2018,7,FC Augsburg,8,8,2,11,9
2018,7,1.FSV Mainz 05,9,8,0,4,4
2018,7,1.FC Nuremberg,10,8,-3,7,10
2018,7,TSG Hoffenheim,11,7,0,10,10
2018,7,E. Frankfurt,12,7,0,10,10
2018,7,SC Freiburg,13,7,-4,9,13
2018,7,Bay. Leverkusen,14,6,-6,7,13
2018,7,F. Düsseldorf,15,5,-4,5,9
2018,7,VfB Stuttgart,16,5,-5,5,10
2018,7,FC Schalke 04,17,3,-6,3,9
2018,7,Hannover 96,18,2,-8,5,13
2018,8,Bor. Dortmund,1,17,15,23,8
2018,8,RB Leipzig,2,14,7,16,9
2018,8,Bor. M'gladbach,3,14,6,15,9
2018,8,Werder Bremen,4,14,5,13,8
2018,8,Hertha BSC,5,14,5,12,7
2018,8,Bayern Munich,6,13,4,12,8
2018,8,E. Frankfurt,7,10,1,12,11
2018,8,1.FSV Mainz 05,8,9,0,4,4
2018,8,VfL Wolfsburg,9,9,-1,10,11
2018,8,FC Augsburg,10,8,1,14,13
2018,8,SC Freiburg,11,8,-4,9,13
2018,8,1.FC Nuremberg,12,8,-9,7,16
2018,8,TSG Hoffenheim,13,7,-1,11,12
2018,8,Bay. Leverkusen,14,7,-6,7,13
2018,8,FC Schalke 04,15,6,-4,5,9
2018,8,Hannover 96,16,5,-6,8,14
2018,8,F. Düsseldorf,17,5,-6,5,11
2018,8,VfB Stuttgart,18,5,-7,6,13
2018,9,Bor. Dortmund,1,20,19,27,8
2018,9,Bor. M'gladbach,2,17,10,19,9
2018,9,Werder Bremen,3,17,7,15,8
2018,9,Bayern Munich,4,16,6,15,9
2018,9,RB Leipzig,5,15,7,16,9
2018,9,Hertha BSC,6,15,5,13,8
2018,9,E. Frankfurt,7,13,7,19,12
2018,9,TSG Hoffenheim,8,10,1,14,13
2018,9,FC Augsburg,9,9,1,14,13
2018,9,VfL Wolfsburg,10,9,-3,11,14
2018,9,SC Freiburg,11,9,-4,10,14
2018,9,1.FSV Mainz 05,12,9,-4,4,8
2018,9,Bay. Leverkusen,13,8,-6,9,15
2018,9,1.FC Nuremberg,14,8,-11,8,19
2018,9,Hannover 96,15,6,-6,10,16
2018,9,FC Schalke 04,16,6,-6,5,11
2018,9,VfB Stuttgart,17,5,-11,6,17
2018,9,F. Düsseldorf,18,5,-12,6,18
2018,10,Bor. Dortmund,1,21,19,29,10
2018,10,Bayern Munich,2,19,7,17,10
2018,10,Bor. M'gladbach,3,17,8,20,12
2018,10,Werder Bremen,4,17,3,17,14
2018,10,RB Leipzig,5,16,7,16,9
2018,10,Hertha BSC,6,16,5,15,10
2018,10,E. Frankfurt,7,14,7,20,13
2018,10,TSG Hoffenheim,8,13,5,18,13
2018,10,FC Augsburg,9,12,2,16,14
2018,10,VfL Wolfsburg,10,12,0,14,14
2018,10,SC Freiburg,11,12,-2,13,15
2018,10,Bay. Leverkusen,12,11,-2,15,17
2018,10,1.FSV Mainz 05,13,9,-5,5,10
2018,10,1.FC Nuremberg,14,9,-11,9,20
2018,10,FC Schalke 04,15,7,-6,5,11
2018,10,Hannover 96,16,6,-7,11,18
2018,10,VfB Stuttgart,17,5,-15,6,21
2018,10,F. Düsseldorf,18,5,-15,6,21
2018,11,Bor. Dortmund,1,24,20,30,10
2018,11,Bor. M'gladbach,2,20,11,23,12
2018,11,Bayern Munich,3,20,7,18,11
2018,11,RB Leipzig,4,19,10,19,9
2018,11,E. Frankfurt,5,17,10,23,13
2018,11,Werder Bremen,6,17,2,18,16
2018,11,TSG Hoffenheim,7,16,8,22,14
2018,11,Hertha BSC,8,16,2,15,13
2018,11,FC Augsburg,9,13,2,18,16
2018,11,SC Freiburg,10,13,-2,14,16
2018,11,VfL Wolfsburg,11,12,-1,14,15
2018,11,1.FSV Mainz 05,12,12,-4,7,11
2018,11,Bay. Leverkusen,13,11,-5,16,21
2018,11,FC Schalke 04,14,10,-4,8,12
2018,11,1.FC Nuremberg,15,10,-11,11,22
2018,11,Hannover 96,16,6,-9,12,21
2018,11,VfB Stuttgart,17,5,-18,6,24
2018,11,F. Düsseldorf,18,5,-18,6,24
