match_date,match_hour,match_round,home_team,away_team,home_goals,away_goals,bookmaker,1X,12,X2,opening_1X,opening_12,opening_X2,league_year
12.05.2019,16:00,38,Brighton,Manchester City,1,4,10bet,4.70,1.07,,5.80,1.02,,
12.05.2019,16:00,38,Brighton,Manchester City,1,4,188bet,4.90,1.11,1.02,6.80,1.06,1.01,
12.05.2019,16:00,38,Brighton,Manchester City,1,4,1xbet,5.30,1.10,1.03,5.50,1.05,1.02,
12.05.2019,16:00,38,Brighton,Manchester City,1,4,888sport,5.50,1.08,1.02,7.50,1.05,1.00,
12.05.2019,16:00,38,Brighton,Manchester City,1,4,bet-at-home,4.07,1.08,1.04,4.68,1.06,1.03,
12.05.2019,16:00,38,Brighton,Manchester City,1,4,bet365,4.50,1.09,1.04,7.50,1.07,1.01,
12.05.2019,16:00,38,Brighton,Manchester City,1,4,betclic,5.25,1.09,1.04,6.50,1.06,1.03,
12.05.2019,16:00,38,Brighton,Manchester City,1,4,betfair,5.00,1.06,1.03,5.50,1.05,1.02,
12.05.2019,16:00,38,Brighton,Manchester City,1,4,betsafe,5.00,1.05,,6.55,1.02,,
12.05.2019,16:00,38,Brighton,Manchester City,1,4,betsson,5.00,1.05,,6.55,1.02,,
12.05.2019,16:00,38,Brighton,Manchester City,1,4,betvictor,4.50,1.10,1.05,7.00,1.04,1.03,
12.05.2019,16:00,38,Brighton,Manchester City,1,4,bwin,5.25,1.01,1.02,6.25,1.01,1.01,
12.05.2019,16:00,38,Brighton,Manchester City,1,4,comeon,4.80,1.10,1.02,6.05,1.06,1.00,
12.05.2019,16:00,38,Brighton,Manchester City,1,4,unibet,5.50,1.08,1.02,7.50,1.05,1.00,
12.05.2019,16:00,38,Brighton,Manchester City,1,4,william hill,4.80,1.07,1.02,6.50,1.05,1.01,
12.05.2019,16:00,38,Brighton,Manchester City,1,4,youwin,4.75,1.05,,5.50,1.00,,
12.05.2019,16:00,38,Brighton,Manchester City,1,4,betfair exchange,5.09,1.12,1.06,6.20,1.12,1.04,
12.05.2019,16:00,38,Burnley,Arsenal,1,3,10bet,1.45,1.26,1.50,1.91,1.22,1.17,
12.05.2019,16:00,38,Burnley,Arsenal,1,3,188bet,1.48,1.31,1.57,1.93,1.22,1.22,
12.05.2019,16:00,38,Burnley,Arsenal,1,3,1xbet,1.57,1.32,1.51,2.00,1.22,1.17,
12.05.2019,16:00,38,Burnley,Arsenal,1,3,888sport,1.48,1.30,1.56,2.04,1.28,1.24,
12.05.2019,16:00,38,Burnley,Arsenal,1,3,bet-at-home,1.44,1.29,1.51,1.93,1.25,1.23,
12.05.2019,16:00,38,Burnley,Arsenal,1,3,bet365,1.44,1.29,1.55,2.10,1.25,1.25,
12.05.2019,16:00,38,Burnley,Arsenal,1,3,betclic,1.45,1.30,1.55,2.00,1.27,1.23,
12.05.2019,16:00,38,Burnley,Arsenal,1,3,betfair,1.40,1.25,1.50,2.00,1.22,1.17,
12.05.2019,16:00,38,Burnley,Arsenal,1,3,betsafe,1.42,1.26,1.49,1.92,1.22,1.20,
12.05.2019,16:00,38,Burnley,Arsenal,1,3,betsson,1.41,1.25,1.51,1.92,1.22,1.20,
12.05.2019,16:00,38,Burnley,Arsenal,1,3,betvictor,1.40,1.29,1.50,2.00,1.25,1.20,
12.05.2019,16:00,38,Burnley,Arsenal,1,3,bwin,1.45,1.25,1.50,1.91,1.20,1.25,
12.05.2019,16:00,38,Burnley,Arsenal,1,3,comeon,1.49,1.29,1.53,2.00,1.27,1.22,
12.05.2019,16:00,38,Burnley,Arsenal,1,3,sbobet,1.46,1.32,1.53,1.88,1.25,1.23,
12.05.2019,16:00,38,Burnley,Arsenal,1,3,unibet,1.48,1.30,1.56,2.04,1.28,1.24,
12.05.2019,16:00,38,Burnley,Arsenal,1,3,william hill,1.50,1.29,1.50,2.00,1.25,1.20,
12.05.2019,16:00,38,Burnley,Arsenal,1,3,youwin,1.42,1.29,1.48,1.90,1.18,1.25,
12.05.2019,16:00,38,Burnley,Arsenal,1,3,betfair exchange,1.49,1.34,1.60,1.81,1.32,1.43,
12.05.2019,16:00,38,Crystal Palace,Bournemouth,5,3,10bet,1.21,1.21,2.00,1.23,1.25,1.71,
12.05.2019,16:00,38,Crystal Palace,Bournemouth,5,3,188bet,1.23,1.24,2.14,1.29,1.25,1.73,
12.05.2019,16:00,38,Crystal Palace,Bournemouth,5,3,1xbet,1.24,1.25,2.22,1.22,1.25,1.80,
12.05.2019,16:00,38,Crystal Palace,Bournemouth,5,3,888sport,1.24,1.24,2.12,1.29,1.29,1.88,
12.05.2019,16:00,38,Crystal Palace,Bournemouth,5,3,bet-at-home,1.24,1.24,1.95,1.28,1.28,1.77,
